"Colegio ID","Colegio Owner","Colegio Owner ID","Colegio Name",Phone,Website,"Created By","Created by ID","Modified By","Modified by ID","Created Time","Modified Time",Description,Currency,"Exchange Rate","Last Activity Time",Calle,Ciudades,Estados,Colonia,"Matrícula Kinder","Matrícula Primaria","Matrícula Secundaria","fuente del colegio","Costos Colegiatura Secundaria","Costos Colegiatura Primaria","Costo de Materiales Primaria","Costo de Materiales Secundaria","Contrato Actual Kinder","Costos Colegiatura Kinder","Costo de Materiales Kinder","Código Postal","Otro Teléfono",Zona,"Matrícula Total",Campañas,Número,"Knotion code",Tag,"Tiene Secundaria","Tiene Primaria","Tiene Kinder","Pertence a un grupo","A qué grupo pertenece","Estatus Colegio","Idioma Kinder Español","Idioma Kinder Inglés","Fecha vencimiento contrato Kinder","Kinder Horas de Inglés a la Semana","Costo Inscripción Primaria","Costo Inscripción Secundaria","Costo Inscripción Kinder","Información General Costos","Fecha Última Investigación","Contrato Actual Primaria","Idioma Primaria Inglés","Fecha Vencimiento Contrato Primaria","Primaria Horas de Inglés a la Semana","Idioma Primaria Español","Fecha Vencimiento Contrato Secundaria","Idioma Secundaria Inglés","Idioma Secundaria Español","Secundaria Horas de Inglés a la Semana","Información General Académica","Contrato Actual Secundaria","Estructura Propietaria","Estructura Operativa","Nivel de Instalaciones","Descripción de Instalaciones","Maestro hace uso de dispositivo electrónico","Alumno hace uso de dispositivo electrónico","Propietario de dispositivo","Tipo de dispositivo Primaria","Costo de arrendamiento","Tipo de dispositivo Secundaria","Tipo de dispositivo Kinder","Información General","Plataformas Kinder","Programas Kinder","Costos Plataformas Kinder","Costos Programas Kinder","Costos Libretas Kinder","Costos Plataformas Primaria","Plataformas Primaria","Costos Certificaciones Primaria","Certificaciones Primaria","Costos Programas Primaria","Programas Primaria","Costos Libretas Primaria","Costo Libretas Secundaria","Costos Certificaciones Secundaria","Costos Plataformas Secundaria","Costos Programas Secundaria","Programas Secundaria","Plataformas Secundaria","Certificaciones Secundaria","Problemas a resolver en colegio","Proceso de toma de decisiones Kinder","Proceso de toma de decisiones Primaria","Proceso de toma de decisiones Secundaria","Todos los niveles","Referenciado por","Uso de Libretas Kinder","Uso de Libretas Secundaria","Uso de Libretas Primaria","Razones por las que Califica siguiente campaña","Razones por las que se Descarta","Origen del Colegio","Fecha de evento",País,"Facebook Link","Google maps link","Primera campaña","Fecha no califica","Fecha primera visita LH","Fecha siguiente campaña","Fecha descartado","Razones por las que no califica","Fecha contacto inicial","Fecha de integración a Campaña","Fecha en que se convirtió","Razones por las que no se renueva el contrato","Razones por las que se interrumpe un contrato","Categoría del colegio","Nombre Contacto Secundario","Correo electrónico Contacto Secundario","Cargo Contacto Secundario","Extensión Contacto Secundario","Teléfono Contacto Secundario","Fecha de creación del PC","Fecha pc",Otros,"Colegio IB","Nivel de inglés Kinder","Nivel de inglés primaria","Nivel de inglés Secundaria","Historial de campañas trabajadas","Nivel Socioeconómico","Porcentaje de compatibilidad","Tiene Niveles Libres?","Clase AMAI",Territories
zcrm_1670006000000168033,"Mariana Hernández Pacheco",zcrm_1670006000011776020,"Colegio Wexford La Joya",4422350201,http://www.colegiowexford.edu.mx,"Gloria Guilbert",zcrm_1670006000000087045,"Research & Development",zcrm_1670006000024830001,"2015-12-16 21:11:04","2020-01-17 16:04:35",,MXN,1.000000000,"2020-01-17 16:04:35","Carretera Querétaro - Tlacote Km 11.5",Queretaro-453,Querétaro,"Huertas La Joya",0,151,80,,4695,4250,8300,7645,UNO,0,0,76235,4422350053,Centro,231,zcrm_1670006000006927005,SN,MX-QTO-0004,,false,false,false,,,Descartado,false,false,,,,,,,,,false,,,false,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,"Incapacidad para generar oportunidad",,CRM,,México,,https://www.google.com/maps/search/?api=1&query=Colegio%20Wexford%20La%20Joya%20Carretera%20Querétaro%20-%20Tlacote%20Km%2011.5,,,,,,,,,,,,,,,,,,,,,,,,,,Medio,92.5,false,AB,
zcrm_1670006000000168057,"Fernando Galaz",zcrm_1670006000002053017,"Colegio Viktor Frankl (Preescolar y Primaria)","442 295 2494",http://www.colegioviktorfrankl.edu.mx,"Gloria Guilbert",zcrm_1670006000000087045,"Research & Development",zcrm_1670006000024830001,"2015-12-16 21:15:16","2020-01-17 16:04:36","-----
Jannet Padilla Vega
Dirección en Secundaria Viktor Frankl
Rosy arias - rarias@colegioviktorfrankl.edu.mx
Sandra Lee Guerrero - Directora general - sandralee@colegioviktofrankl.edu.mx",MXN,1.000000000,"2020-01-17 16:04:36","Fray Sebastian De Gallegos",Corregidora-2703,Querétaro,"El pueblito",230,370,,,,3890,3326,,UNO,3100,1700,76900,,Centro,600,zcrm_1670006000006927015,300,MX-QTO-0059,,false,true,true,,,"Colegio Aliado",false,false,,,,,,,,,false,,,false,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,M2,,México,,https://www.google.com/maps/search/?api=1&query=Colegio%20Viktor%20Frankl%20(Preescolar%20y%20Primaria)%20Fray%20Sebastian%20De%20Gallegos,,,,,,,,,,,,,,,,,,,,,,,,,,Bajo,70,false,AB,
zcrm_1670006000000168079,"Juan Manuel Chavez Muñoz",zcrm_1670006000010577001,"Instituto Oscar Gonzalez Blakaller",55861080,https://www.blakaller.edu.mx/,"Gloria Guilbert",zcrm_1670006000000087045,"Research & Development",zcrm_1670006000024830001,"2015-12-16 21:17:13","2020-01-17 16:04:37",,MXN,1.000000000,"2020-01-17 16:04:37","Avenida No. 17 de Mayo","Gustavo A. Madero-746","Ciudad de México","Gustavo A. Madero",40,245,,"Referencia Interna",0,3980,4600,0,AMCO,3160,3500,51200,5557540810,,285,zcrm_1670006000020648298,140,,,true,true,true,,,"Siguiente Campaña",true,true,2019-07-01,8,,,,,2018-10-02,AMCO,true,2019-07-01,8,true,,true,true,,"En teoría, son 50% inglés 50% español los contenidos. Sin embargo, todas las clases especiales (Danza, computación, The Kwon Do...) son durante el horario de inglés, por lo que los tiempos varían, el promedio de horas de inglés por semana es de 8, procurando que al menos se lleve una diaria.",,,,Medio,"Es un colegio bastante grande, en un mismo campus se encuentran los tres niveles. Las instalaciones están cuidadas aunque son algo viejas. Hay un patio grande al centro y alrededor se distribuyen los edificios de cada nivel. La dirección y oficinas se encuentran al inicio del colegio.

Las instalaciones internas están descuidadas en lo que respecta a equipos y tecnología, exceso de cableado tanto dentro como fuera de los salones. Los proyectores son propiedad de AMCO, únicamente podría contarse con los brazos. 

Los salones se distribuyen de manera tradicional en cuanto a su mobiliario, un pizarrón al frente y bancas en fila.",Sí,No,,,,,,,,,,,,,,,,,,,,,,,,,,"10 Octubre
Comentaron que con AMCO tienen muchos problemas al momento de las actualizaciones, tanto las de la plataforma, como cuando hay nuevo IOS. 
Les preocupa que de implementarse, sus maestras están muy casadas con AMCO y sea difícil la transición. 
Quieren ver la posibilidad de implementar knPower en secundaria para el área de inglés y si es posible. 

____________
Septiembre
Uso de la tecnología, actualmente llevan AMCO, los salones tienen proyectores y el maestro lleva iPad.... pero sienten que el alumno no tiene mucha interacción con los dispositivos, no hay manipulación, sólo reciben la información. 

Les preocupa el vaciado de las calificaciones al momento de separarse por materia SEP.",,,,"El coordinador académico de cada nivel debe dar el Vo.Bo. en cuando a la parte académica, una vez logrado, se pasa la información al área administrativa en donde el Administrador Lic. Enrique Pérez debe dar el VoBo de la propuesta económica para poder implementar.",,true,false,true,,,"DA - Probabilidad Normal",,México,,https://www.google.com/maps/search/?api=1&query=Instituto%20Oscar%20Gonzalez%20Blakaller%20Avenida%20No.%2017%20de%20Mayo,,,,,,,,,,,,,,,,,,,,,,,,,,Bajo,75,false,D+,
zcrm_1670006000000168101,"Jorge Duran",zcrm_1670006000013628007,"Colegio Leonard Eulerd","791 913 7079",http://www.leonardeulerd.edu.mx/,"Gloria Guilbert",zcrm_1670006000000087045,"Jorge Duran",zcrm_1670006000013628007,"2015-12-16 21:21:42","2020-01-20 13:28:21",,MXN,1.000000000,"2020-01-20 13:28:21","Bernal Diaz del Castillo",Pachuca-203,Hidalgo,"Sahagun Hidalgo",170,383,169,,0,0,0,0,"NO TIENE",0,0,34199,,Sur,722,zcrm_1670006000020648298,SN,,,true,true,true,,,"Pendiente Recalificar",false,false,,,,,,,,,false,,,false,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,"DA - Probabilidad Normal",,México,,https://www.google.com/maps/search/?api=1&query=Colegio%20Leonard%20Eulerd%20Bernal%20Diaz%20del%20Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,45,false,D+,
zcrm_1670006000000168177,"Krishna Gabriel Javier Franco Morales",zcrm_1670006000010242031,"Colegio Bilingüe Bucareli","933 333 1123",http://www.colegiobucareli.com/,"Gloria Guilbert",zcrm_1670006000000087045,"Research & Development",zcrm_1670006000024830001,"2015-12-16 21:31:38","2020-01-17 16:04:38","La escuela se encuentra dirigida principalmente por tres hermanos, en la subdirección gral. (Luis Mario González) dirección de kínder (Linda González) y director de finanzas (pendiente). La Directora gral. (Adelina)  es dueña y dirige el nivel Primaria. Las instalaciones son clasificadas como clase B.",MXN,1.000000000,"2020-01-17 16:04:38","Las Palmas",Paraíso-527,Tabasco,"Costa Real",80,140,90,Evento,0,3700,3500,4500,AMCO,2250,2800,86600,,Sur,310,zcrm_1670006000006927005,SN,,,false,false,true,,,"Siguiente Campaña",false,false,2021-07-01,,,,,,2019-07-11,AMCO,false,2021-07-01,,false,2021-07-01,false,false,,,UNO,"Dueño único que opera","Director General;Directores de niveles (KPS);Director Administrativo",Bajo,"Los espacios son muy reducidos, los salones y el mobiliario no son tan actuales. La señal del internet es mala en la zona.",,"4 a 1",Colegio,Tablet,,Tablet,Tablet,,,,,,,,,,,,,,,,,,,,,"Conexión a internet",,,,"Directora general y subdireccion  general",,false,false,false,,,"DA - Probabilidad Normal",,México,,https://www.google.com/maps/search/?api=1&query=Colegio%20Bilingüe%20Bucareli%20Las%20Palmas,,,,,,,,,,,,,,,,,,,,,,,,,,Bajo,80,false,C,
zcrm_1670006000000168201,"Karina Gaytan",zcrm_1670006000000580003,"Colegio San Agustín","624 1430199",https://www.facebook.com/pages/Colegio-San-Agustin/113783315372423,"Gloria Guilbert",zcrm_1670006000000087045,"Fernando Galaz",zcrm_1670006000002053017,"2015-12-16 21:42:06","2020-01-20 14:43:48","Inscripción
K-$4150
P-$4650
S-$5150",MXN,1.000000000,"2020-01-20 14:43:48","Avenida Cabo San Lucas esquina Niños Héroes","Heroica Mulegé-29","Baja California Sur",Centro,79,172,59,Evento,3750,3150,4885,2775,AMCO,3000,4330,23410,"624 105 0952",Norte,310,zcrm_1670006000006927015,SN,MX-BCS-0087,,true,true,true,,,"Colegio Aliado",false,false,,,,,,,,,false,,,false,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,M2,,México,,https://www.google.com/maps/search/?api=1&query=Colegio%20San%20Agustín%20Avenida%20Cabo%20San%20Lucas%20esquina%20Niños%20Héroes,,,,,,,,,,,,,,,,,,,,,,,,,,Bajo,82.5,false,AB,
zcrm_1670006000000168227,"Karen Castro",zcrm_1670006000005343017,"Instituto Santiago San Juan del Río",4272727711,https://es-la.facebook.com/www.institutosantiago.edu.mx/,"Gloria Guilbert",zcrm_1670006000000087045,"Research & Development",zcrm_1670006000024830001,"2015-12-16 21:44:19","2020-01-17 16:04:40","Jardín de Niños Solecito 
Calle: Ayuntamiento #50 
Colonia: Centro
CP. 76800 
San Juan del Río, Querétaro.",MXN,1.000000000,"2020-01-17 16:04:40",Cedros,"San Juan del Río-454",Querétaro,"Guadalupe de las Peñas",80,296,138,,3900,3200,4300,5500,AMCO,2250,4200,76800,4272725690,Centro,514,zcrm_1670006000006927005,11,MX-QTO-0010,,true,true,true,,,"Colegio Aliado",false,false,,,,,,,,,false,,,false,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,M1,,México,,https://www.google.com/maps/search/?api=1&query=Instituto%20Santiago%20San%20Juan%20del%20Río%20Cedros,,,,,,,,,,,,,,,,,,,,,,,,,,Medio,92.5,false,C-,
zcrm_1670006000000168249,"Karina Guzman",zcrm_1670006000001328001,"Colegio Grecia","646 178 1746",http://www.colegiogrecia.com/,"Gloria Guilbert",zcrm_1670006000000087045,"Research & Development",zcrm_1670006000024830001,"2015-12-16 21:45:18","2020-01-17 16:04:40",,MXN,1.000000000,"2020-01-17 16:04:40",Ryerson,Ensenada-21,"Baja California",Centro,35,95,70,,0,3280,4445,0,AMCO,2580,0,22800,,Norte,200,zcrm_1670006000006927005,789,MX-BCN-0013,,true,true,true,,,"Colegio Aliado",false,false,,,,,,,,,false,,,false,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,M1,,México,,https://www.google.com/maps/search/?api=1&query=Colegio%20Grecia%20Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,Bajo,55,false,C-,
zcrm_1670006000000168271,"Karen Castro",zcrm_1670006000005343017,"Colegio Mexico de Tehuacán","238 382 1111",http://www.colemexico.edu.mx/,"Gloria Guilbert",zcrm_1670006000000087045,"Research & Development",zcrm_1670006000024830001,"2015-12-16 21:47:35","2020-01-17 16:04:41",,MXN,1.000000000,"2020-01-17 16:04:41","Carretera Federal",Tehuacan-452,Puebla,"Santa Cecilia",100,255,140,,0,0,0,0,"NO TIENE",1040,0,75855,,Sur,495,zcrm_1670006000006927005,5000,MX-PUE-0005,,true,true,true,,,"Colegio Aliado",false,false,,,,,,,,,false,,,false,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,M1,,México,,https://www.google.com/maps/search/?api=1&query=Colegio%20Mexico%20de%20Tehuacán%20Carretera%20Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,45,false,C,
zcrm_1670006000000168291,"Karen Castro",zcrm_1670006000005343017,"Colegio Simón Bolívar",3112144335,http://simonbolivar.edu.mx,"Gloria Guilbert",zcrm_1670006000000087045,"Research & Development",zcrm_1670006000024830001,"2015-12-16 21:48:32","2020-01-17 16:04:42","Manejan sistema Cambriedge tienen exclusividad con ellos y cuentan co certificaciones.",MXN,1.000000000,"2020-01-17 16:04:42","Valles de Compostela",Tepic-341,Nayarit,"Fraccionamiento Valles del Nayar",176,360,184,,3150,2700,2000,2500,"NO TIENE",2180,1500,63194,3111719050,Occidente,720,zcrm_1670006000006927005,32,MX-NAY-0008,,true,true,true,,,"Colegio Aliado",false,false,,,,,,,,,false,,,false,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,M1,,México,,https://www.google.com/maps/search/?api=1&query=Colegio%20Simón%20Bolívar%20Valles%20de%20Compostela,,,,,,,,,,,,,,,,,,,,,,,,,,Bajo,75,false,AB,
