Colegio Name,Costos Colegiatura Secundaria,Costos Colegiatura Primaria,Costo de Materiales Primaria,Costo de Materiales Secundaria,Costos Colegiatura Kinder,Costo de Materiales Kinder,Costo Inscripción Primaria,Costo Inscripción Secundaria,Costo Inscripción Kinder,Costo de arrendamiento,Costos Plataformas Kinder,Costos Programas Kinder,Costos Libretas Kinder,Costos Plataformas Primaria,Costos Certificaciones Primaria,Costos Programas Primaria,Costos Libretas Primaria,Costo Libretas Secundaria,Costos Certificaciones Secundaria,Costos Plataformas Secundaria,Costos Programas Secundaria,Matrícula Kinder,Matrícula Primaria,Matrícula Secundaria,Matrícula Total
Colegio Wexford La Joya,4695.0,4250.0,8300.0,7645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,80.0,231
Instituto Bilingüe Internacional de Monterrey,4075.0,3870.0,4630.0,4000.0,2640.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,220.0,75.0,370
Instituto Avance,2809.0,2035.0,4000.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,150.0,380
Euroamerican School,0.0,9950.0,0.0,0.0,8350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,869.0,300.0,1649
Colegio Wexford Maravillas,4695.0,4250.0,8300.0,7645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,271.0,730
Colegio Angeles de Puebla,4820.0,3810.0,4650.0,3940.0,3130.0,4050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,560.0,214.0,890
Colegio Alamos Cancún,0.0,2600.0,5050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,650.0,700.0,1650
Colegio Multicultural Unn (Uniniño),0.0,4180.0,5500.0,0.0,3490.0,7300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120
Cumbres Comunidad Educativa,2750.0,2750.0,5850.0,5850.0,2400.0,2150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,236.0,49.0,384
Instituto Novaera,3500.0,3100.0,6090.0,6780.0,2550.0,3850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,150.0,50.0,220
Colegio Monte Rosa,4887.0,4482.0,0.0,0.0,4181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,113.0,80.0,300
Instituto Acatitlán,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1200.0,800.0,3000
Colegio Cultural Terranova,0.0,4600.0,3500.0,0.0,3700.0,3408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,300.0,300.0,736
Colegio Británico (León),0.0,4125.0,4720.0,0.0,3208.0,3250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,400.0,200.0,700
Colegio Wellington School,4200.0,3600.0,3415.0,3960.0,2900.0,3467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,360.0,150.0,690
Centro Educativo Continental,3800.0,3800.0,5000.0,5400.0,3550.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,310.0,186.0,586
Instituto Quetzalcoatl,3800.0,2900.0,3500.0,0.0,2155.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,245.0,115.0,468
Colegio Descubridores,2900.0,2650.0,6700.0,6800.0,1950.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,150.0,90.0,300
Instituto Americano Leonardo Da Vinci (Kinder y Primaria),5145.0,4835.0,6200.0,0.0,3900.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,117.0,100.0,270
Colegio Monclair (Campus San Pedro),3390.0,3090.0,3500.0,4000.0,2650.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,360.0,180.0,690
Iedis de Metepec,0.0,3287.0,5045.0,0.0,2938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,500.0,250.0,1000
Iedis (Campus Toluca),0.0,3287.0,5045.0,0.0,2938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,250.0,100.0,450
Colegio Luis Pasteur,4252.0,3493.0,4679.0,4047.0,2315.0,2960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,200.0,100.0,360
Colegio Finlandes (Querétaro),4550.0,3580.0,4400.0,5900.0,3700.0,2588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,140.0,60.0,260
Instituto Americano Leonardo Da Vinci (Zitácuaro),3095.0,2357.0,3300.0,3300.0,2039.0,2148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,200
Instituto Americano Leonardo Da Vinci (Secundaria),5145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100
Instituto México Bilingüe (Campus Altamirano),0.0,2200.0,6795.0,0.0,2200.0,5770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,120.0,0.0,180
Colegio Monclair (Campus Las Torres),4180.0,3840.0,3804.0,4000.0,3300.0,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,168.0,60.0,310
Instituto Bilingüe Internacional de Monterrey (Unidad Country),0.0,0.0,4630.0,0.0,0.0,2545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,58.0,0.0,115
Subiré (Campus León),5314.0,5200.0,5213.0,7504.0,3470.0,4278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,650.0,450.0,1500
Subiré (Campus Jalisco),6000.0,6490.0,6000.0,6700.0,5400.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,801.0,436.0,1504
Colegio Union México,1920.0,1600.0,2289.0,4312.0,1470.0,1537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,180.0,180.0,540
Centro Educativo Monteverde,7430.0,7370.0,5000.0,8000.0,6270.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,400.0,154.0,678
Instituto Oxford - Reynosa,5900.0,5700.0,4500.0,4500.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,300.0,900
Instituto Bilingüe Interamericano México (IBIME),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,1389.0,668.0,2417
Colegio CIO de México (Kinder y Primaria),0.0,0.0,5000.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,270.0,276.0,626
Colegio CIO de México (Secundaria),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,276.0,513
Comunidad Educativa Hispanoamericana Coacalco,4065.0,3400.0,8040.0,5000.0,2800.0,3745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,396.0,225.0,753
Colegio Inglés de Durango Culiacán,3500.0,3300.0,4700.0,4800.0,3000.0,4300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,276.0,250.0,706
Colegio Inglés de Durango Ciudad Juárez,3400.0,3000.0,4200.0,4200.0,2500.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,180.0,90.0,360
Colegio Inglés de Durango Saltillo,3200.0,3000.0,4000.0,4000.0,2800.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,216.0,108.0,432
Colegio Inglés de Durango Torreón,3200.0,3000.0,4100.0,4100.0,2800.0,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,120.0,100.0,320
Colegio Sierra Nevada Campus Lomas,0.0,12000.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,300
Educativo Antequera,0.0,2150.0,4678.0,0.0,2000.0,3995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,170.0,0.0,266
Colegio Álamos,10260.0,9220.0,5375.0,6361.0,6160.0,5695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,267.0,149.0,536
