Colegio Name,Costos Colegiatura Secundaria,Costos Colegiatura Primaria,Costo de Materiales Primaria,Costo de Materiales Secundaria,Costos Colegiatura Kinder,Costo de Materiales Kinder,Costo Inscripción Primaria,Costo Inscripción Secundaria,Costo Inscripción Kinder,Costo de arrendamiento,Costos Plataformas Kinder,Costos Programas Kinder,Costos Libretas Kinder,Costos Plataformas Primaria,Costos Certificaciones Primaria,Costos Programas Primaria,Costos Libretas Primaria,Costo Libretas Secundaria,Costos Certificaciones Secundaria,Costos Plataformas Secundaria,Costos Programas Secundaria,Matrícula Kinder,Matrícula Primaria,Matrícula Secundaria,Matrícula Total
Colegio San Agustín,3750.0,3150.0,4885.0,2775.0,3000.0,4330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,172.0,59.0,310
Colegio Grecia,0.0,3280.0,4445.0,0.0,2580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,95.0,70.0,200
Instituto Vélez,5970.0,3675.0,3100.0,3805.0,2595.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,185.0,36.0,324
Colegio Saltillense,3400.0,2800.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,98.0,44.0,252
Instituto México Inglés,0.0,4443.0,4345.0,4443.0,3344.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,216.0,119.0,423
Colegio Agnes Gonxha,3900.0,3700.0,13000.0,4963.0,3100.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,275.0,92.0,476
Colegio Mirasierra,0.0,6400.0,6000.0,0.0,4750.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,257.0,169.0,501
Instituto Bilingüe Ovidio Decroly,4269.0,3900.0,3900.0,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,263.0,129.0,621
Highland Prince Academy,4360.0,3880.0,5350.0,4250.0,2740.0,4340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,140.0,76.0,273
Centro Educativo Integral Campus Orizaba (CEICO),0.0,4065.0,10600.0,0.0,2691.0,7359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,300.0,200.0,600
Colegio Independencia,2900.0,2200.0,4640.0,3640.0,1600.0,3700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,341.0,199.0,641
Colegio Ignacio Zaragoza,0.0,2200.0,4640.0,2890.0,1600.0,3700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,184.0,76.0,303
International American School,0.0,5990.0,4500.0,0.0,5050.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,236.0,250.0,610
Instituto Rosner,6300.0,5800.0,7500.0,8500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,94.0,251
Centro de Educación Bilingüe CEB,0.0,4410.0,5230.0,5990.0,4040.0,1985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,367.0,67.0,484
Instituto Bilingüe Green Hills,3150.0,2900.0,4700.0,4900.0,2000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,238.0,72.0,361
Britt Academy (Playa del Carmen),4767.0,4767.0,3800.0,3600.0,4219.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,900.0,280.0,1580
Britt Academy (Cancún),3186.0,3078.0,4700.0,5289.0,2700.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,520.0,200.0,820
Colegio Inglés (Saltillo),0.0,3725.0,3400.0,0.0,3525.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,196.0,90.0,363
